============================================
HiSplat + per-stage MSH training
Repo: /ceph_data/clue9986/HiSplatMSH
Phase: warmup
Lambda RD: 0.02
Pretrained ckpt: checkpoints/hisplat_re10k.ckpt
Max steps: 15000
Batch size/GPU: 2
Val interval/check epoch: 100000 / null
Checkpoint interval/top-k: 5000 / -1
SH degree: 4
Codec stage N: [192,192,192]
Codec stage M: [320,320,320]
Codec stage depth: [2,4,4]
Codec train mode: full
Codec input: proj
LR codec/aux/generator: 1.0e-4 / 1.0e-5 / 2.0e-5
Codec LR warmup: 200 steps from factor 0.1
Codec recon weight: 0.0
Codec warmup bypass: false
Output: licsweep_probe_l0.02_M320_d244_v2
Extra Hydra args: <none>
============================================
[36mSaving outputs to /ceph_data/clue9986/HiSplatMSH/outputs/licsweep_probe_l0.02_M320_d244_v2.[39m
GPU number is 1
missing keys:[]
unexpected keys:[]
error msgs:[]
!!!Successfully load the DINOV2 ckpt from ./checkpoints/dinov2_vitb14_pretrain.pth
==> Load multi-view transformer backbone checkpoint: checkpoints/gmdepth-scale1-resumeflowthings-scannet-5d9d7964.pth
[36mInitialized new codec params: 357 missing checkpoint keys.[39m
Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /ceph_data/clue9986/anaconda3/envs/hisplat/lib/python3.10/site-packages/lpips/weights/v0.1/vgg.pth
begin to train fit!
start training without trainer-state resume!!!
train step[0/15000] ; used: 0s; eta: 1s; loss = 0.075505; ['mse_0=0.003408; ', 'lpips_0=0.018442; ', 'codec_recon_0=1.008120; ', 'estimated_kb_0=15.092593; ', 'bpp_0=0.087748; ', 'mse_1=0.003217; ', 'lpips_1=0.014758; ', 'codec_recon_1=1.000296; ', 'estimated_kb_1=3.600059; ', 'bpp_1=0.004186; ', 'mse_2=0.002980; ', 'lpips_2=0.012115; ', 'codec_recon_2=1.024997; ', 'estimated_kb_2=14.244671; ', 'bpp_2=0.003944; ']
train step[1/15000] ; used: 12s; eta: 1d:2h:4m:26s; loss = 0.070291; ['mse_0=0.004506; ', 'lpips_0=0.016143; ', 'codec_recon_0=1.008504; ', 'estimated_kb_0=15.097347; ', 'bpp_0=0.087775; ', 'mse_1=0.003878; ', 'lpips_1=0.012024; ', 'codec_recon_1=1.000154; ', 'estimated_kb_1=3.579465; ', 'bpp_1=0.004162; ', 'mse_2=0.003473; ', 'lpips_2=0.009673; ', 'codec_recon_2=1.038952; ', 'estimated_kb_2=14.272039; ', 'bpp_2=0.003951; ']
train step[2/15000] ; used: 13s; eta: 18h:52m:5s; loss = 0.093941; ['mse_0=0.008243; ', 'lpips_0=0.021640; ', 'codec_recon_0=0.999156; ', 'estimated_kb_0=15.636670; ', 'bpp_0=0.090911; ', 'mse_1=0.007134; ', 'lpips_1=0.017075; ', 'codec_recon_1=1.002012; ', 'estimated_kb_1=3.617938; ', 'bpp_1=0.004207; ', 'mse_2=0.005995; ', 'lpips_2=0.012863; ', 'codec_recon_2=1.016139; ', 'estimated_kb_2=14.328436; ', 'bpp_2=0.003967; ']
train step[3/15000] ; used: 14s; eta: 15h:10m:50s; loss = 0.113606; ['mse_0=0.012186; ', 'lpips_0=0.023332; ', 'codec_recon_0=1.000158; ', 'estimated_kb_0=15.654913; ', 'bpp_0=0.091017; ', 'mse_1=0.011363; ', 'lpips_1=0.019769; ', 'codec_recon_1=1.001963; ', 'estimated_kb_1=3.618217; ', 'bpp_1=0.004207; ', 'mse_2=0.010149; ', 'lpips_2=0.015821; ', 'codec_recon_2=1.023918; ', 'estimated_kb_2=14.305219; ', 'bpp_2=0.003960; ']
train step[4/15000] ; used: 15s; eta: 12h:58m:9s; loss = 0.083042; ['mse_0=0.006526; ', 'lpips_0=0.019824; ', 'codec_recon_0=1.001340; ', 'estimated_kb_0=15.425174; ', 'bpp_0=0.089681; ', 'mse_1=0.005555; ', 'lpips_1=0.014860; ', 'codec_recon_1=1.002201; ', 'estimated_kb_1=3.614471; ', 'bpp_1=0.004203; ', 'mse_2=0.004662; ', 'lpips_2=0.010813; ', 'codec_recon_2=1.022364; ', 'estimated_kb_2=14.243646; ', 'bpp_2=0.003943; ']
train step[5/15000] ; used: 16s; eta: 11h:30m:14s; loss = 0.084265; ['mse_0=0.006488; ', 'lpips_0=0.020427; ', 'codec_recon_0=1.001451; ', 'estimated_kb_0=15.356367; ', 'bpp_0=0.089281; ', 'mse_1=0.005826; ', 'lpips_1=0.014818; ', 'codec_recon_1=1.002779; ', 'estimated_kb_1=3.613173; ', 'bpp_1=0.004201; ', 'mse_2=0.005294; ', 'lpips_2=0.010655; ', 'codec_recon_2=1.019168; ', 'estimated_kb_2=14.241209; ', 'bpp_2=0.003943; ']
train step[6/15000] ; used: 17s; eta: 10h:26m:53s; loss = 0.106933; ['mse_0=0.010433; ', 'lpips_0=0.023545; ', 'codec_recon_0=0.999918; ', 'estimated_kb_0=15.513312; ', 'bpp_0=0.090194; ', 'mse_1=0.009149; ', 'lpips_1=0.020149; ', 'codec_recon_1=1.002771; ', 'estimated_kb_1=3.604801; ', 'bpp_1=0.004192; ', 'mse_2=0.007854; ', 'lpips_2=0.014954; ', 'codec_recon_2=1.023238; ', 'estimated_kb_2=14.241998; ', 'bpp_2=0.003943; ']
train step[7/15000] ; used: 18s; eta: 9h:39m:57s; loss = 0.080004; ['mse_0=0.005620; ', 'lpips_0=0.019217; ', 'codec_recon_0=1.003882; ', 'estimated_kb_0=15.181000; ', 'bpp_0=0.088262; ', 'mse_1=0.004832; ', 'lpips_1=0.014621; ', 'codec_recon_1=1.002517; ', 'estimated_kb_1=3.590737; ', 'bpp_1=0.004175; ', 'mse_2=0.004279; ', 'lpips_2=0.010802; ', 'codec_recon_2=1.025417; ', 'estimated_kb_2=14.239814; ', 'bpp_2=0.003942; ']
train step[8/15000] ; used: 19s; eta: 9h:2m:49s; loss = 0.077209; ['mse_0=0.006200; ', 'lpips_0=0.017992; ', 'codec_recon_0=1.002036; ', 'estimated_kb_0=15.374804; ', 'bpp_0=0.089388; ', 'mse_1=0.005347; ', 'lpips_1=0.012692; ', 'codec_recon_1=1.001683; ', 'estimated_kb_1=3.588691; ', 'bpp_1=0.004173; ', 'mse_2=0.004776; ', 'lpips_2=0.009465; ', 'codec_recon_2=1.025906; ', 'estimated_kb_2=14.217827; ', 'bpp_2=0.003936; ']
train step[9/15000] ; used: 20s; eta: 8h:34m:43s; loss = 0.096863; ['mse_0=0.008936; ', 'lpips_0=0.022473; ', 'codec_recon_0=1.000577; ', 'estimated_kb_0=15.476387; ', 'bpp_0=0.089979; ', 'mse_1=0.008064; ', 'lpips_1=0.017148; ', 'codec_recon_1=1.001179; ', 'estimated_kb_1=3.582465; ', 'bpp_1=0.004166; ', 'mse_2=0.007223; ', 'lpips_2=0.012220; ', 'codec_recon_2=1.024095; ', 'estimated_kb_2=14.219982; ', 'bpp_2=0.003937; ']
train step[10/15000] ; used: 21s; eta: 8h:10m:16s; loss = 0.078294; ['mse_0=0.004358; ', 'lpips_0=0.020227; ', 'codec_recon_0=1.003248; ', 'estimated_kb_0=15.241411; ', 'bpp_0=0.088613; ', 'mse_1=0.003697; ', 'lpips_1=0.015105; ', 'codec_recon_1=1.001316; ', 'estimated_kb_1=3.577181; ', 'bpp_1=0.004160; ', 'mse_2=0.003233; ', 'lpips_2=0.011018; ', 'codec_recon_2=1.031133; ', 'estimated_kb_2=14.229769; ', 'bpp_2=0.003940; ']
