============================================
HiSplat + per-stage MSH training
Repo: /ceph_data/clue9986/HiSplatMSH
Phase: warmup
Lambda RD: 0.0
Pretrained ckpt: checkpoints/hisplat_re10k.ckpt
Max steps: 15000
Batch size/GPU: 2
Val interval/check epoch: 100000 / null
Checkpoint interval/top-k: 5000 / -1
SH degree: 4
Codec stage N: [192,192,192]
Codec stage M: [320,320,320]
Codec stage depth: [2,4,4]
Codec train mode: full
Codec input: proj
LR codec/aux/generator: 1.0e-4 / 1.0e-5 / 2.0e-5
Codec LR warmup: 200 steps from factor 0.1
Codec recon weight: 0.0
Codec warmup bypass: false
Output: licsweep_probe_l0.0_M320_d244_v2
Extra Hydra args: <none>
============================================
[36mSaving outputs to /ceph_data/clue9986/HiSplatMSH/outputs/licsweep_probe_l0.0_M320_d244_v2.[39m
GPU number is 1
missing keys:[]
unexpected keys:[]
error msgs:[]
!!!Successfully load the DINOV2 ckpt from ./checkpoints/dinov2_vitb14_pretrain.pth
==> Load multi-view transformer backbone checkpoint: checkpoints/gmdepth-scale1-resumeflowthings-scannet-5d9d7964.pth
[36mInitialized new codec params: 357 missing checkpoint keys.[39m
Setting up [LPIPS] perceptual loss: trunk [vgg], v[0.1], spatial [off]
Loading model from: /ceph_data/clue9986/anaconda3/envs/hisplat/lib/python3.10/site-packages/lpips/weights/v0.1/vgg.pth
begin to train fit!
start training without trainer-state resume!!!
train step[0/15000] ; used: 0s; eta: 1s; loss = 0.054919; ['mse_0=0.003408; ', 'lpips_0=0.018442; ', 'codec_recon_0=1.008120; ', 'estimated_kb_0=15.092593; ', 'bpp_0=0.087748; ', 'mse_1=0.003217; ', 'lpips_1=0.014758; ', 'codec_recon_1=1.000296; ', 'estimated_kb_1=3.600059; ', 'bpp_1=0.004186; ', 'mse_2=0.002980; ', 'lpips_2=0.012115; ', 'codec_recon_2=1.024997; ', 'estimated_kb_2=14.244671; ', 'bpp_2=0.003944; ']
train step[1/15000] ; used: 12s; eta: 1d:1h:55m:14s; loss = 0.049696; ['mse_0=0.004506; ', 'lpips_0=0.016143; ', 'codec_recon_0=1.008505; ', 'estimated_kb_0=15.101939; ', 'bpp_0=0.087802; ', 'mse_1=0.003878; ', 'lpips_1=0.012022; ', 'codec_recon_1=1.000154; ', 'estimated_kb_1=3.581778; ', 'bpp_1=0.004165; ', 'mse_2=0.003473; ', 'lpips_2=0.009673; ', 'codec_recon_2=1.038952; ', 'estimated_kb_2=14.287195; ', 'bpp_2=0.003955; ']
train step[2/15000] ; used: 13s; eta: 18h:52m:57s; loss = 0.072953; ['mse_0=0.008243; ', 'lpips_0=0.021640; ', 'codec_recon_0=0.999157; ', 'estimated_kb_0=15.654077; ', 'bpp_0=0.091012; ', 'mse_1=0.007135; ', 'lpips_1=0.017075; ', 'codec_recon_1=1.002012; ', 'estimated_kb_1=3.621934; ', 'bpp_1=0.004212; ', 'mse_2=0.005995; ', 'lpips_2=0.012864; ', 'codec_recon_2=1.016140; ', 'estimated_kb_2=14.352758; ', 'bpp_2=0.003974; ']
train step[3/15000] ; used: 14s; eta: 15h:13m:15s; loss = 0.092620; ['mse_0=0.012186; ', 'lpips_0=0.023331; ', 'codec_recon_0=1.000159; ', 'estimated_kb_0=15.690397; ', 'bpp_0=0.091223; ', 'mse_1=0.011363; ', 'lpips_1=0.019769; ', 'codec_recon_1=1.001963; ', 'estimated_kb_1=3.624099; ', 'bpp_1=0.004214; ', 'mse_2=0.010149; ', 'lpips_2=0.015822; ', 'codec_recon_2=1.023918; ', 'estimated_kb_2=14.349331; ', 'bpp_2=0.003973; ']
train step[4/15000] ; used: 15s; eta: 13h:1m:53s; loss = 0.062239; ['mse_0=0.006526; ', 'lpips_0=0.019823; ', 'codec_recon_0=1.001343; ', 'estimated_kb_0=15.464640; ', 'bpp_0=0.089911; ', 'mse_1=0.005555; ', 'lpips_1=0.014860; ', 'codec_recon_1=1.002200; ', 'estimated_kb_1=3.623141; ', 'bpp_1=0.004213; ', 'mse_2=0.004662; ', 'lpips_2=0.010813; ', 'codec_recon_2=1.022365; ', 'estimated_kb_2=14.301852; ', 'bpp_2=0.003960; ']
train step[5/15000] ; used: 16s; eta: 11h:34m:32s; loss = 0.063507; ['mse_0=0.006488; ', 'lpips_0=0.020426; ', 'codec_recon_0=1.001452; ', 'estimated_kb_0=15.399468; ', 'bpp_0=0.089532; ', 'mse_1=0.005826; ', 'lpips_1=0.014817; ', 'codec_recon_1=1.002778; ', 'estimated_kb_1=3.623808; ', 'bpp_1=0.004214; ', 'mse_2=0.005294; ', 'lpips_2=0.010656; ', 'codec_recon_2=1.019169; ', 'estimated_kb_2=14.304496; ', 'bpp_2=0.003960; ']
train step[6/15000] ; used: 17s; eta: 10h:32m:14s; loss = 0.086072; ['mse_0=0.010433; ', 'lpips_0=0.023543; ', 'codec_recon_0=0.999920; ', 'estimated_kb_0=15.589423; ', 'bpp_0=0.090636; ', 'mse_1=0.009148; ', 'lpips_1=0.020145; ', 'codec_recon_1=1.002771; ', 'estimated_kb_1=3.618690; ', 'bpp_1=0.004208; ', 'mse_2=0.007853; ', 'lpips_2=0.014950; ', 'codec_recon_2=1.023238; ', 'estimated_kb_2=14.328588; ', 'bpp_2=0.003967; ']
train step[7/15000] ; used: 18s; eta: 9h:45m:8s; loss = 0.059373; ['mse_0=0.005620; ', 'lpips_0=0.019217; ', 'codec_recon_0=1.003883; ', 'estimated_kb_0=15.234613; ', 'bpp_0=0.088573; ', 'mse_1=0.004832; ', 'lpips_1=0.014621; ', 'codec_recon_1=1.002517; ', 'estimated_kb_1=3.605385; ', 'bpp_1=0.004192; ', 'mse_2=0.004279; ', 'lpips_2=0.010803; ', 'codec_recon_2=1.025419; ', 'estimated_kb_2=14.324701; ', 'bpp_2=0.003966; ']
train step[8/15000] ; used: 19s; eta: 9h:8m:55s; loss = 0.056467; ['mse_0=0.006200; ', 'lpips_0=0.017989; ', 'codec_recon_0=1.002037; ', 'estimated_kb_0=15.450842; ', 'bpp_0=0.089830; ', 'mse_1=0.005347; ', 'lpips_1=0.012690; ', 'codec_recon_1=1.001683; ', 'estimated_kb_1=3.606619; ', 'bpp_1=0.004194; ', 'mse_2=0.004776; ', 'lpips_2=0.009465; ', 'codec_recon_2=1.025908; ', 'estimated_kb_2=14.324039; ', 'bpp_2=0.003966; ']
train step[9/15000] ; used: 20s; eta: 8h:39m:39s; loss = 0.076057; ['mse_0=0.008935; ', 'lpips_0=0.022472; ', 'codec_recon_0=1.000579; ', 'estimated_kb_0=15.574592; ', 'bpp_0=0.090550; ', 'mse_1=0.008064; ', 'lpips_1=0.017146; ', 'codec_recon_1=1.001179; ', 'estimated_kb_1=3.604306; ', 'bpp_1=0.004191; ', 'mse_2=0.007223; ', 'lpips_2=0.012217; ', 'codec_recon_2=1.024096; ', 'estimated_kb_2=14.350950; ', 'bpp_2=0.003973; ']
train step[10/15000] ; used: 21s; eta: 8h:15m:20s; loss = 0.057629; ['mse_0=0.004358; ', 'lpips_0=0.020223; ', 'codec_recon_0=1.003249; ', 'estimated_kb_0=15.331582; ', 'bpp_0=0.089137; ', 'mse_1=0.003696; ', 'lpips_1=0.015103; ', 'codec_recon_1=1.001316; ', 'estimated_kb_1=3.604052; ', 'bpp_1=0.004191; ', 'mse_2=0.003232; ', 'lpips_2=0.011016; ', 'codec_recon_2=1.031135; ', 'estimated_kb_2=14.350798; ', 'bpp_2=0.003973; ']
